name,address,lat,lng,wifi,allHours,drive,hundred,morning,barista,birthday,playRand,adventure,parking
花堂店,福井県福井市花堂中２－２７－８,36.0360008764,136.213422077,1,0,1,0,1,0,0,0,0,1
武生楽市店,福井県越前市横市町２８－１４－１,35.9065038914,136.192384269,1,0,1,0,1,0,0,0,0,1
鯖江アルプラザ店,福井県鯖江市下河端町１６字下町１６－１,35.9692724355,136.189846074,1,0,0,0,0,0,0,0,0,1
福井アピタ店,福井県福井市飯塚町１１－１１１,36.0658030974,136.183434467,1,0,0,0,0,0,0,0,0,1
福井ワイプラザ店,福井県福井市新保北１－３０３,36.0863190036,136.249166488,1,0,0,0,0,0,0,0,0,1
８号線丸岡店,福井県坂井市丸岡町朝陽２－２０４－１,36.1571528652,136.26416169,1,0,1,0,1,0,0,1,0,1
福井若杉店,福井県福井市若杉４－７１０,36.057386108,136.187348042,1,0,1,0,1,0,0,0,0,1
大野ヴィオ店,福井県大野市鍬掛１７－１７－１,35.9745994732,136.480010207,1,0,1,0,1,0,1,0,1,1
福井大和田アピタ店,福井県福井市大和田２－１２３０,36.0961390134,136.250444066,1,0,0,0,0,0,0,0,0,1
２７号小浜店,福井県小浜市遠敷８－７０２－４,35.482700109,135.776980214,1,0,1,0,1,0,0,0,0,1
西鯖江店,福井県鯖江市有定町１－１０１０,35.947199377,136.176567229,1,0,1,0,1,0,0,0,0,1
春江店,福井県坂井市春江町随応寺２３－１０－１,36.133896992,136.220984721,1,0,1,0,1,0,0,0,0,1
福井南ワイプラザ店,福井県福井市羽水２－７１７,36.0397144783,136.230583196,1,0,1,0,1,0,0,1,0,1
敦賀アクロスプラザ店,福井県敦賀市古田刈２８－１－１,35.6329305366,136.062841517,1,1,1,0,1,0,0,0,1,1
福井新田塚店,福井県福井市二の宮５丁目１８－２０,36.0878214458,136.208435045,1,1,1,0,1,0,0,0,1,1
鯖江神明店,福井県鯖江市幸町２丁目５ー２８,35.9775482346,136.181959523,1,0,1,0,1,0,0,0,0,1
三国店,福井県坂井市三国町楽円５３字下沖田１－１,36.2036283179,136.161494355,1,0,1,0,1,0,0,0,0,1
石和店,山梨県笛吹市石和町四日市場１８２５,35.6441732267,138.63357033,0,1,1,0,1,0,0,0,0,1
中小河原店,山梨県甲府市中小河原町５８４－１,35.6302859591,138.571082077,0,0,1,1,1,0,1,1,1,1
１３９富士吉田店,山梨県富士吉田市新西原２－３３－１８,35.4808330925,138.783851829,1,0,1,0,1,0,0,1,0,1
都留店,山梨県都留市四日市場４５－１,35.5656880811,138.916928519,0,0,1,0,1,0,0,0,1,1
甲府湯村店,山梨県甲府市千塚３－２－４４,35.6816549552,138.542526429,0,0,1,0,1,0,0,1,0,1
甲府和戸店,山梨県甲府市横根町４６５－２,35.654546814,138.613677748,1,0,1,0,1,0,0,0,0,1
昭和通り飯喰店,山梨県中巨摩郡昭和町飯喰１３４３,35.6236118458,138.52240958,1,0,1,0,1,0,0,0,0,1
双葉イツモア店,山梨県甲斐市竜地４４４５－１,35.6858499736,138.49718906,0,0,0,1,0,0,0,0,0,1
田富アピタ店,山梨県中央市山之神１３８３－１,35.6152247392,138.51161139,1,0,0,1,0,0,0,0,0,1
山梨万力店,山梨県山梨市万力８２,35.6859671643,138.668004629,0,0,1,0,1,0,0,0,0,1
甲府昭和イトーヨーカドー店,山梨県中巨摩郡昭和町西条１３－１,35.6399422198,138.543976813,0,0,0,1,0,0,0,0,0,1
増穂店,山梨県南巨摩郡富士川町大椚２８７,35.5651221377,138.470756009,0,0,1,0,1,0,0,0,0,1
韮崎店,山梨県韮崎市藤井町南下條２７９,35.7197907621,138.450954505,0,0,1,0,1,0,0,1,0,1
２０号竜王店,山梨県甲斐市富竹新田１５０８－５,35.6600907835,138.523011725,0,0,1,0,1,0,0,1,0,1
石和アピタ店,山梨県笛吹市石和町窪中島１５４,35.6456874514,138.631709042,0,0,0,1,0,0,0,0,0,1
国母店,山梨県甲府市大里町５０１１,35.6248896393,138.55011909,1,0,1,0,1,0,0,0,0,1
塩山店,山梨県甲州市塩山下於曽１５７３－１,35.6993890377,138.723752923,0,0,1,0,1,0,0,0,0,1
南アルプスガーデン店,山梨県南アルプス市十五所７３６－１,35.6191745956,138.469562635,0,0,1,0,1,0,0,0,0,1
甲府アルプス通り店,山梨県甲府市徳行１－９－１,35.6536620991,138.54571252,1,1,1,1,1,0,0,0,1,1
１３９富士見バイパス店,山梨県富士吉田市下吉田東１－２５－１６,35.4806163071,138.810459836,1,0,1,0,1,0,0,0,1,1
甲府朝気店,山梨県甲府市朝気３－２－２４,35.6505470395,138.583444394,1,0,1,0,1,0,0,0,1,1
松本店,長野県松本市中央１－３－２,36.2314726803,137.96559189,0,1,0,1,1,0,0,0,0,0
１８号長野店,長野県長野市北尾張部３９１－１,36.6553875001,138.237059323,1,1,1,1,1,0,0,1,0,1
下諏訪店,長野県諏訪郡下諏訪町東赤砂４６３２－１,36.0663331419,138.080578071,1,0,1,0,1,0,0,1,0,1
諏訪インター店,長野県諏訪市大字四賀２３４８－１,36.0136558984,138.126645015,1,1,1,0,1,0,0,0,0,1
長野ＳＢＣ通り店,長野県長野市上松１－１６－４０,36.6707578028,138.199513376,1,0,1,0,1,0,0,0,0,1
松本高宮店,長野県松本市高宮東６－５,36.2154138366,137.960674616,1,1,1,0,1,0,0,0,0,1
川中島店,長野県長野市川中島町今井１８１４－１,36.5938057948,138.156321648,1,0,1,0,1,0,0,0,0,1
１９号塩尻店,長野県塩尻市大字広丘高出１５３９－６,36.1197706059,137.960383944,1,0,1,0,1,0,0,0,0,1
１８号小諸店,長野県小諸市大字諸１１１－５,36.3371384397,138.417174753,0,0,1,0,1,0,0,0,0,1
長野トイザらス店,長野県長野市高田１１８９－１,36.6379893955,138.211915559,0,0,0,0,0,0,0,0,0,1
イオン豊科店,長野県安曇野市大字豊科４２７２－１０,36.3007751998,137.908064742,0,0,0,0,0,0,0,0,0,1
